"","dynamicColors","mergedColors"
"ACTA2","brown","brown"
"ACTB","magenta","magenta"
"ACTG1","magenta","magenta"
"ACTG2","brown","brown"
"ACTL6A","pink","pink"
"ACTN1","turquoise","greenyellow"
"ACTN4","lightcyan","lightcyan"
"ACTR10","turquoise","greenyellow"
"ACTR1B","turquoise","greenyellow"
"ACTR2","turquoise","greenyellow"
"ACTR3","turquoise","greenyellow"
"ACTR3B","turquoise","greenyellow"
"ACTR5","tan","tan"
"ACTR6","turquoise","greenyellow"
"ACTR8","magenta","magenta"
"ACVR1","turquoise","greenyellow"
"ACVR1B","turquoise","greenyellow"
"ACVR1C","turquoise","greenyellow"
"ACVR2A","turquoise","greenyellow"
"ACVR2B","magenta","magenta"
"ACVRL1","brown","brown"
"ACY1","magenta","magenta"
"ACY3","yellow","black"
"ACYP1","turquoise","greenyellow"
"ACYP2","tan","tan"
"ADA","blue","blue"
"ADAD2","green","green"
"ADAL","turquoise","greenyellow"
"ADAM10","turquoise","greenyellow"
"ADAM11","turquoise","greenyellow"
"ADAM12","brown","brown"
"ADAM15","green","green"
"ADAM17","turquoise","greenyellow"
"ADAM19","brown","brown"
"ADAM22","turquoise","greenyellow"
"ADAM23","pink","pink"
"ADAM28","yellow","black"
"ADAM33","brown","brown"
"ADAM8","blue","blue"
"ADAM9","turquoise","greenyellow"
"ADAMDEC1","blue","blue"
"ADAMTS1","brown","brown"
"ADAMTS10","brown","brown"
"ADAMTS12","brown","brown"
"ADAMTS13","yellow","black"
"ADAMTS14","brown","brown"
"ADAMTS15","brown","brown"
"ADAMTS17","turquoise","greenyellow"
"ADAMTS2","brown","brown"
"ADAMTS4","brown","brown"
"ADAMTS5","brown","brown"
"ADAMTS7","brown","brown"
"ADAMTS9","brown","brown"
"ADAMTSL2","brown","brown"
"ADAMTSL3","turquoise","greenyellow"
"ADAMTSL4","black","black"
"ADAMTSL5","green","green"
"ADAP1","yellow","black"
"ADAP2","blue","blue"
"ADAR","cyan","cyan"
"ADARB1","brown","brown"
"ADAT1","tan","tan"
"ADAT2","purple","greenyellow"
"ADAT3","midnightblue","midnightblue"
"ADCK1","turquoise","greenyellow"
"ADCK2","turquoise","greenyellow"
"ADCK5","red","red"
"ADCY1","turquoise","greenyellow"
"ADCY3","turquoise","greenyellow"
"ADCY4","brown","brown"
"ADCY5","brown","brown"
"ADCY6","turquoise","greenyellow"
"ADCY7","salmon","green"
"ADCY9","turquoise","greenyellow"
"ADD1","lightyellow","greenyellow"
"ADD3","turquoise","greenyellow"
